value,cdsCode,displayName,isCEP
01100170112607 - Envision Academy for Arts & Technology (Alameda County Office of Education),01100170112607,Envision Academy for Arts & Technology (Alameda County Office of Education),TRUE
01100176001788 - Cox Academy (Alameda County Office of Education),01100176001788,Cox Academy (Alameda County Office of Education),TRUE
01100170123968 - Community School for Creative Education (Alameda County Office of Education),01100170123968,Community School for Creative Education (Alameda County Office of Education),TRUE
01100170124172 - Yu Ming Charter (Alameda County Office of Education),01100170124172,Yu Ming Charter (Alameda County Office of Education),FALSE
01100170125567 - Urban Montessori Charter (Alameda County Office of Education),01100170125567,Urban Montessori Charter (Alameda County Office of Education),FALSE
01100170129403 - Epic Charter (Alameda County Office of Education),01100170129403,Epic Charter (Alameda County Office of Education),FALSE
01100170130625 - Alternatives in Action (Alameda County Office of Education),01100170130625,Alternatives in Action (Alameda County Office of Education),FALSE
01100170131581 - Oakland Unity Middle (Alameda County Office of Education),01100170131581,Oakland Unity Middle (Alameda County Office of Education),TRUE
01100170137448 - Aurum Preparatory Academy (Alameda County Office of Education),01100170137448,Aurum Preparatory Academy (Alameda County Office of Education),TRUE
01100170138867 - Hayward Collegiate Charter (Alameda County Office of Education),01100170138867,Hayward Collegiate Charter (Alameda County Office of Education),FALSE
01100176002000 - Lazear Charter Academy (Alameda County Office of Education),01100176002000,Lazear Charter Academy (Alameda County Office of Education),TRUE
01611190106401 - Alameda Science and Technology Institute (Alameda Unified),01611190106401,Alameda Science and Technology Institute (Alameda Unified),FALSE
01611190111765 - Ruby Bridges Elementary (Alameda Unified),01611190111765,Ruby Bridges Elementary (Alameda Unified),TRUE
01611190122085 - The Academy of Alameda (Alameda Unified),01611190122085,The Academy of Alameda (Alameda Unified),FALSE
01611190130229 - Alameda High (Alameda Unified),01611190130229,Alameda High (Alameda Unified),FALSE
01611190130609 - Alameda Community Learning Center (Alameda Unified),01611190130609,Alameda Community Learning Center (Alameda Unified),FALSE
01611190132142 - Encinal Junior/Senior High (Alameda Unified),01611190132142,Encinal Junior/Senior High (Alameda Unified),FALSE
01611190134304 - Island High (Continuation) (Alameda Unified),01611190134304,Island High (Continuation) (Alameda Unified),TRUE
01611196090013 - Edison Elementary (Alameda Unified),01611196090013,Edison Elementary (Alameda Unified),FALSE
01611196090021 - Frank Otis Elementary (Alameda Unified),01611196090021,Frank Otis Elementary (Alameda Unified),FALSE
01611196090039 - Franklin Elementary (Alameda Unified),01611196090039,Franklin Elementary (Alameda Unified),FALSE
01611196090047 - Love Elementary (Alameda Unified),01611196090047,Love Elementary (Alameda Unified),FALSE
01611196090054 - Lincoln Middle (Alameda Unified),01611196090054,Lincoln Middle (Alameda Unified),FALSE
01611196090112 - Will C. Wood Middle (Alameda Unified),01611196090112,Will C. Wood Middle (Alameda Unified),FALSE
01611196090120 - William G. Paden Elementary (Alameda Unified),01611196090120,William G. Paden Elementary (Alameda Unified),FALSE
01611196100374 - Amelia Earhart Elementary (Alameda Unified),01611196100374,Amelia Earhart Elementary (Alameda Unified),FALSE
01611196110779 - Bay Farm (Alameda Unified),01611196110779,Bay Farm (Alameda Unified),FALSE
01611196979140 - The Phillips Academy (Alameda Unified),01611196979140,The Phillips Academy (Alameda Unified),FALSE
1611190139220 - Maya Lin (Alameda Unified),1611190139220,Maya Lin (Alameda Unified),FALSE
01611270130450 - Albany High (Albany City Unified),01611270130450,Albany High (Albany City Unified),FALSE
01611276090146 - Cornell Elementary (Albany City Unified),01611276090146,Cornell Elementary (Albany City Unified),FALSE
01611276090161 - Albany Middle (Albany City Unified),01611276090161,Albany Middle (Albany City Unified),FALSE
01611276095376 - Marin Elementary (Albany City Unified),01611276095376,Marin Elementary (Albany City Unified),FALSE
01611276116222 - Ocean View Elementary (Albany City Unified),01611276116222,Ocean View Elementary (Albany City Unified),FALSE
01611430131177 - Berkeley High (Berkeley Unified),01611430131177,Berkeley High (Berkeley Unified),FALSE
01611430134924 - Berkeley Technology Academy (Berkeley Unified),01611430134924,Berkeley Technology Academy (Berkeley Unified),TRUE
01611436056857 - Martin Luther King Middle (Berkeley Unified),01611436056857,Martin Luther King Middle (Berkeley Unified),FALSE
01611436056865 - Willard Middle (Berkeley Unified),01611436056865,Willard Middle (Berkeley Unified),FALSE
01611436090187 - Rosa Parks Environmental Science (Berkeley Unified),01611436090187,Rosa Parks Environmental Science (Berkeley Unified),FALSE
01611436090195 - Cragmont Elementary (Berkeley Unified),01611436090195,Cragmont Elementary (Berkeley Unified),FALSE
01611436090211 - Emerson Elementary (Berkeley Unified),01611436090211,Emerson Elementary (Berkeley Unified),FALSE
01611436090252 - Ruth Acty Elementary (Berkeley Unified),01611436090252,Ruth Acty Elementary (Berkeley Unified),FALSE
01611436090278 - Sylvia Mendez Elementary (Berkeley Unified),01611436090278,Sylvia Mendez Elementary (Berkeley Unified),FALSE
01611436090286 - Malcolm X Elementary (Berkeley Unified),01611436090286,Malcolm X Elementary (Berkeley Unified),FALSE
01611436090294 - Longfellow Arts and Technology Middle (Berkeley Unified),01611436090294,Longfellow Arts and Technology Middle (Berkeley Unified),FALSE
01611436090302 - Oxford Elementary at West Campus (Berkeley Unified),01611436090302,Oxford Elementary at West Campus (Berkeley Unified),FALSE
01611436090310 - Thousand Oaks Elementary (Berkeley Unified),01611436090310,Thousand Oaks Elementary (Berkeley Unified),FALSE
01611436090328 - Washington Elementary (Berkeley Unified),01611436090328,Washington Elementary (Berkeley Unified),FALSE
01611436097729 - Berkeley Arts Magnet at Whittier (Berkeley Unified),01611436097729,Berkeley Arts Magnet at Whittier (Berkeley Unified),FALSE
01611436105316 - John Muir Elementary (Berkeley Unified),01611436105316,John Muir Elementary (Berkeley Unified),FALSE
01316090131755 - California School for the Blind (California School for the Blind (State Special Schl)),01316090131755,California School for the Blind (California School for the Blind (State Special Schl)),FALSE
01316170131763 - California School for the Deaf-Fremont (California School for the Deaf-Fremont (State Special Schl)),01316170131763,California School for the Deaf-Fremont (California School for the Deaf-Fremont (State Special Schl)),FALSE
01611500130047 - Roy A. Johnson High (Castro Valley Unified),01611500130047,Roy A. Johnson High (Castro Valley Unified),FALSE
01611500132225 - Castro Valley High (Castro Valley Unified),01611500132225,Castro Valley High (Castro Valley Unified),FALSE
01611500135533 - Redwood Continuation High (Castro Valley Unified),01611500135533,Redwood Continuation High (Castro Valley Unified),FALSE
01611506090351 - Castro Valley Elementary (Castro Valley Unified),01611506090351,Castro Valley Elementary (Castro Valley Unified),FALSE
01611506090369 - Chabot Elementary (Castro Valley Unified),01611506090369,Chabot Elementary (Castro Valley Unified),FALSE
01611506090385 - Creekside Middle (Castro Valley Unified),01611506090385,Creekside Middle (Castro Valley Unified),FALSE
01611506090393 - Independent Elementary (Castro Valley Unified),01611506090393,Independent Elementary (Castro Valley Unified),FALSE
01611506090401 - Marshall Elementary (Castro Valley Unified),01611506090401,Marshall Elementary (Castro Valley Unified),FALSE
01611506090419 - Palomares Elementary (Castro Valley Unified),01611506090419,Palomares Elementary (Castro Valley Unified),FALSE
01611506090435 - Proctor Elementary (Castro Valley Unified),01611506090435,Proctor Elementary (Castro Valley Unified),FALSE
01611506090468 - Stanton Elementary (Castro Valley Unified),01611506090468,Stanton Elementary (Castro Valley Unified),FALSE
01611506090484 - Vannoy Elementary (Castro Valley Unified),01611506090484,Vannoy Elementary (Castro Valley Unified),FALSE
01611506097653 - Canyon Middle (Castro Valley Unified),01611506097653,Canyon Middle (Castro Valley Unified),FALSE
01611506113005 - Jensen Ranch Elementary (Castro Valley Unified),01611506113005,Jensen Ranch Elementary (Castro Valley Unified),FALSE
01750930138164 - Dublin Unified Transition Program (Dublin Unified),01750930138164,Dublin Unified Transition Program (Dublin Unified),FALSE
01750930114579 - John Green Elementary (Dublin Unified),01750930114579,John Green Elementary (Dublin Unified),FALSE
01750930123935 - Harold William Kolb (Dublin Unified),01750930123935,Harold William Kolb (Dublin Unified),FALSE
01750930125930 - Eleanor Murray Fallon (Dublin Unified),01750930125930,Eleanor Murray Fallon (Dublin Unified),FALSE
